;chave;NOME;UF;GEOCOD_IBGE;COD_TSE;AJUSTE
370;ba ipupiara;IPUPIARA;BA;2914109;35831;
371;ba irajuba;IRAJUBA;BA;2914208;35858;
372;ba iramaia;IRAMAIA;BA;2914307;35874;
373;ba iraquara;IRAQUARA;BA;2914406;35890;
374;ba irara;IRARÁ;BA;2914505;35912;
375;ba irece;IRECÊ;BA;2914604;35939;
376;ba itabela;ITABELA;BA;2914653;35947;
377;ba itaberaba;ITABERABA;BA;2914703;35955;
378;ba itabuna;ITABUNA;BA;2914802;35971;
379;ba itacare;ITACARÉ;BA;2914901;35998;
380;ba itaete;ITAETÉ;BA;2915007;36013;
381;ba itagi;ITAGI;BA;2915106;36030;
382;ba itagiba;ITAGIBÁ;BA;2915205;36056;
383;ba itagimirim;ITAGIMIRIM;BA;2915304;36072;
384;ba itaguacu da bahia;ITAGUAÇU DA BAHIA;BA;2915353;36080;
385;ba itaju do colonia;ITAJU DO COLÔNIA;BA;2915403;36099;
386;ba itajuipe;ITAJUÍPE;BA;2915502;36110;
387;ba itamaraju;ITAMARAJU;BA;2915601;36137;
388;ba itamari;ITAMARI;BA;2915700;36153;
389;ba itambe;ITAMBÉ;BA;2915809;36170;
390;ba itanagra;ITANAGRA;BA;2915908;36196;
391;ba itanhem;ITANHÉM;BA;2916005;36218;
392;ba itaparica;ITAPARICA;BA;2916104;36234;
393;ba itape;ITAPÉ;BA;2916203;36250;
394;ba itapebi;ITAPEBI;BA;2916302;36277;
395;ba itapetinga;ITAPETINGA;BA;2916401;36293;
396;ba itapicuru;ITAPICURU;BA;2916500;36315;
397;ba itapitanga;ITAPITANGA;BA;2916609;36331;
398;ba itaquara;ITAQUARA;BA;2916708;36358;
399;ba itarantim;ITARANTIM;BA;2916807;36374;
400;ba itatim;ITATIM;BA;2916856;36382;
401;ba itirucu;ITIRUÇU;BA;2916906;36390;
402;ba itiuba;ITIÚBA;BA;2917003;36412;
403;ba itororo;ITORORÓ;BA;2917102;36439;
404;ba ituacu;ITUAÇU;BA;2917201;36455;
405;ba itubera;ITUBERÁ;BA;2917300;36471;
406;ba iuiu;IUIU;BA;2917334;30660;
407;ba jaborandi;JABORANDI;BA;2917359;30678;
408;ba jacaraci;JACARACI;BA;2917409;36498;
409;ba jacobina;JACOBINA;BA;2917508;36510;
410;ba jaguaquara;JAGUAQUARA;BA;2917607;36536;
411;ba jaguarari;JAGUARARI;BA;2917706;36552;
412;ba jaguaripe;JAGUARIPE;BA;2917805;36579;
413;ba jandaira;JANDAÍRA;BA;2917904;36595;
414;ba jequie;JEQUIÉ;BA;2918001;36617;
415;ba jeremoabo;JEREMOABO;BA;2918100;36633;
416;ba jiquirica;JIQUIRIÇÁ;BA;2918209;36650;
417;ba jitauna;JITAÚNA;BA;2918308;36676;
418;ba joao dourado;JOÃO DOURADO;BA;2918357;30996;
419;ba juazeiro;JUAZEIRO;BA;2918407;36692;
420;ba jucurucu;JUCURUÇU;BA;2918456;36706;
421;ba jussara;JUSSARA;BA;2918506;36714;
422;ba jussari;JUSSARI;BA;2918555;30694;
423;ba jussiape;JUSSIAPE;BA;2918605;36730;
424;ba lafaiete coutinho;LAFAIETE COUTINHO;BA;2918704;36757;
425;ba lagoa real;LAGOA REAL;BA;2918753;36765;
426;ba laje;LAJE;BA;2918803;36773;
427;ba lajedao;LAJEDÃO;BA;2918902;36790;
428;ba lajedinho;LAJEDINHO;BA;2919009;36811;
429;ba lajedo do tabocal;LAJEDO DO TABOCAL;BA;2919058;36820;
430;ba lamarao;LAMARÃO;BA;2919108;36838;
431;ba lapao;LAPÃO;BA;2919157;39730;
432;ba lauro de freitas;LAURO DE FREITAS;BA;2919207;36854;
433;ba lencois;LENÇÓIS;BA;2919306;36870;
434;ba licinio de almeida;LICÍNIO DE ALMEIDA;BA;2919405;36897;
435;ba livramento de nossa senhora;LIVRAMENTO DE NOSSA SENHORA;BA;2919504;36919;
436;ba luis eduardo magalhaes;LUÍS EDUARDO MAGALHÃES;BA;2919553;30007;
437;ba macajuba;MACAJUBA;BA;2919603;36935;
438;ba macarani;MACARANI;BA;2919702;36951;
439;ba macaubas;MACAÚBAS;BA;2919801;36978;
440;ba macurure;MACURURÉ;BA;2919900;36994;
441;ba madre de deus;MADRE DE DEUS;BA;2919926;39748;
